"733","台研發核電廠除役技術，搶食國際市場| TechNews 科技新報","https://technews.tw/2018/03/02/nuclear-power-plant-removal-technology-taiwan/","台研發核電廠除役技術，搶食國際市場| TechNews 科技新報"
"734","核電廠- Wiktionary","https://en.wiktionary.org/wiki/%E6%A0%B8%E9%9B%BB%E5%BB%A0","核電廠- Wiktionary"
"735","核電廠| 大紀元","http://www.epochtimes.com/b5/tag/%E6%A0%B8%E9%9B%BB%E5%BB%A0.html","核電廠| 大紀元"
"736","回應劉黎兒：台灣核電廠不耐震？ 台電這麼說| 蘋果日報","https://tw.appledaily.com/new/realtime/20180210/1296008/","回應劉黎兒：台灣核電廠不耐震？ 台電這麼說| 蘋果日報"
"737","核電廠密度 - 中華民國核能學會","http://archived.chns.org/s.php@id=47&id2=207.html","核電廠密度 - 中華民國核能學會"
"738","破天荒開放媒體北韓核電廠曝光 TVBS新聞網","https://news.tvbs.com.tw/entry/161196","破天荒開放媒體北韓核電廠曝光 TVBS新聞網"
"739","Feature 造訪所有地區：捷克ČEZ集團核電廠互動之旅 - WANO","http://www.wano.info/zh-cn/InsideWANO/articles/feature/Pages/Access-all-areas-interactive-tours-of-%C4%8CEZ-nuclear-power-plants.aspx","Feature 造訪所有地區：捷克ČEZ集團核電廠互動之旅 - WANO"
"740","核电厂系统及设备 - 第 ii 頁 - Google 圖書結果","https://books.google.com.tw/books?id=2x9WrTDt6uIC&pg=PR2&lpg=PR2&dq=%E6%A0%B8%E9%9B%BB%E5%BB%A0&source=bl&ots=gorROdBYDw&sig=oJe2SlFXa3faN42K6yL-7X4-Q-Q&hl=zh-TW&sa=X&ved=0ahUKEwjF65_uye7ZAhUGqJQKHf_PCD84HhDoAQhEMAU","核电厂系统及设备 - 第 ii 頁 - Google 圖書結果"
"741","奧地利擬就歐盟補助匈牙利Paks核電廠擴建案向歐盟法院提出「無效訴訟 ...","https://www.taiwanembassy.org/at/post/5210.html","奧地利擬就歐盟補助匈牙利Paks核電廠擴建案向歐盟法院提出「無效訴訟 ..."
"742","[PDF]
赴瑞典西屋公司進行核電廠除役技術交流及參觀SKB 公司 ... - 核能研究所","https://www.iner.gov.tw/index.php/6600/category/43-taipower.html?download=409:iner-f0927","[PDF]
赴瑞典西屋公司進行核電廠除役技術交流及參觀SKB 公司 ... - 核能研究所"
"743","立法院-核電廠提前除役造成重大社會成本","https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=5723&pid=51993","立法院-核電廠提前除役造成重大社會成本"
"744","日本核電廠爆炸事故，衛生署對輻射健康疑慮之因應- 衛生福利部全球 ...","https://www.mohw.gov.tw/cp-16-25593-1.html","日本核電廠爆炸事故，衛生署對輻射健康疑慮之因應- 衛生福利部全球 ..."
"745","台灣核能發電廠發展歷史","http://library.taiwanschoolnet.org/diplomacy1/wrc05/steuent/a3.htm","台灣核能發電廠發展歷史"
"746","立法院-核電廠提前除役造成重大社會成本","https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=5723&pid=51993","立法院-核電廠提前除役造成重大社會成本"
"747","日本核電廠爆炸事故，衛生署對輻射健康疑慮之因應- 衛生福利部全球 ...","https://www.mohw.gov.tw/cp-16-25593-1.html","日本核電廠爆炸事故，衛生署對輻射健康疑慮之因應- 衛生福利部全球 ..."
"748","核電廠何去何從~核廢料問題」座談會 徐光蓉 - 屏東縣政府環保局","https://www.ptepb.gov.tw/nuclear/Video_Content.aspx?n=F75F5424D7424E4D&s=8F2E9BE3EB8A131F","核電廠何去何從~核廢料問題」座談會 徐光蓉 - 屏東縣政府環保局"
"749","座談會「核電廠事故以來已7年，放射能污染狀況改善到什麼程度 ...","https://www.tokyo-odaiba.net/zh-tw/zh-tw-event/%E7%A7%91%E5%AD%B8%E5%AF%A6%E9%A9%97%E5%BA%A7%E8%AB%87%E3%80%8C%E5%B0%8B%E6%89%BE%E7%AC%AC2%E5%80%8B%E5%9C%B0%E7%90%83%EF%BC%81%EF%BD%9E%E7%B3%BB%E5%A4%96%E8%A1%8C%E6%98%9F%E6%8E%A2%E6%9F%A5%E6%9C%80-6-2/","座談會「核電廠事故以來已7年，放射能污染狀況改善到什麼程度 ..."
"750","CNP600壓水堆核電廠運行(上下)(中級)（簡體書）-戚屯鋒- 三民網路書店","http://www.sanmin.com.tw/product/index/001206599","CNP600壓水堆核電廠運行(上下)(中級)（簡體書）-戚屯鋒- 三民網路書店"
"751","[PDF]
核电厂建构筑物维护及可靠性鉴定标准 - 中华人民共和国住房和城乡建设部","http://www.mohurd.gov.cn/wjfb/201707/W020170705053838.pdf","[PDF]
核电厂建构筑物维护及可靠性鉴定标准 - 中华人民共和国住房和城乡建设部"
"752","越南常跳電還宣布停建核電廠，他們要用愛發電嗎？ - The News Lens ...","https://www.thenewslens.com/article/76428","越南常跳電還宣布停建核電廠，他們要用愛發電嗎？ - The News Lens ..."
"753","核電廠故障羅智強：逼著民進黨當「人」 - 商業周刊","https://www.businessweekly.com.tw/article.aspx?id=20325&type=Blog","核電廠故障羅智強：逼著民進黨當「人」 - 商業周刊"
"754","與核電廠一起生活| ECHIWA FUKUI UNFORGOTTEN JAPAN","http://echiwa.jp/tw/climate/nuclear-power-plants/","與核電廠一起生活| ECHIWA FUKUI UNFORGOTTEN JAPAN"
"755","核能災害與防災 - 氣候天氣災害研究中心 - 國立臺灣大學","http://www.wcdr.ntu.edu.tw/26680330212879723475332873845028797.html","核能災害與防災 - 氣候天氣災害研究中心 - 國立臺灣大學"
